ID,Date,First name,Last name,Email address,Website,Organisation Name,Position,Please choose which option best describes what sort of company or organisation is seeking support?,Agriculture,Construction,Creative Industries,"Transportation, including logistics and warehousing",Other (1),What is the business challenge that your organisation would most like to solve with data science and/or AI? (max 200 words),How might AI make your company more productive? (max 200 words),"In your opinion, to what extent might data science and/or AI improve your business revenue and/or productivity?",To what extent has your organisation modelled or forecast future business revenue and/or productivity using AI?,"Company culture, approach to innovation","Data quality, data sharing and/or data management issues",Costs and complexity,Lack of strategy and clear objectives,"Ethical, regulatory and compliance",Technical infrastructure challenges,Other (2),What is the target audience (or target audiences) for your company's product and/or services? (max 200 words),"Briefly outline what engagement you have had with data science and AI solutions in the past (for example, advice, training, specialised staff)",Data scientists,Machine learning experts,Software engineers,Data analysts,Statisticians,Please add any other information that you would like to provide as part of this Expression of Interest form? (max 200 words),"Please tick to confirm that you understand as this is a BridgeAI project, the Alan Turing Institute (Privacy Policy) will be sharing your personal data, which is collected on behalf of the BridgeAI programme, with Innovate UK (Privacy Notice), Innovate UK Business Connect (Privacy Policy), BSI Group (Privacy Notice), Hartree Centre (Privacy Notice), and Digital Catapult (Privacy Notice) for the purpose described under the Innovate UK Business Connect privacy notice.",Please tick to confirm Innovate UK Business Connect have your permission to process your data. You can view Innovate UK Business Connect's Privacy Policy here.,IP Address,URL,User Agent
1566760574,07/24/2012 19:33:06,wnxfycfo,okitlrmw,bwujuqsw@jhvbedl.com,N/A,imrfmexk,CTO,Adopter company,No,Yes,Yes,No,No,nksky glhgyq atefv zvobv.,mirgy ztbjyi pfwww wjqlw.,Significant improvement,Not at all,No,Yes,Yes,No,Yes,No,Yes - ucvxs,ndvci kgjwwa qoyqy ervgg.,Own data science and/or AI team internally,Yes,Yes,Yes,Yes,No,nntlk ptifpo runng jyedh.,Yes,Yes,34.96.8.49,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,iPhone
3685706235,10/07/2006 16:15,wqiihttl,oidfadtn,ttuppvzc@vqxpwdp.com,N/A,lgmesqpo,Developer,Adopter company,Yes,No,Yes,No,No,zmrsf ujrsaz pyjxk lktvh.,agkcv ewucql qkbfa hvntj.,Some improvement,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,smuaz mqgyqp vpvdi zfcrx.,Own data science and/or AI team internally,Yes,Yes,No,Yes,Yes,jzgts bzyjrw hoitz fdizw.,Yes,Yes,21.221.63.163,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
7103971123,07/30/2004 18:21:19,sdkzzbnd,vwwqmqgz,allstfdy@ptmfjsy.com,N/A,ycfvgesc,CEO,Please specify - jaqtt,Yes,Yes,No,Yes,No,olkaq ghcbrk oecly qewna.,mitdw ijewjn pocbw nfflf.,Little improvement,A lot,Yes,Yes,Yes,No,Yes,No,Yes - gwvha,luarj yogicq vvdqp tmlxw.,Universities,No,Yes,No,No,No,cqwsa oawvxs ksklg booou.,Yes,Yes,157.113.98.139,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
9504306606,08/26/2023 01:26:55,zuzpsrfm,mjjizvol,qktrkmni@jgjlpas.com,N/A,sogyqren,Developer,AI Developer,No,Yes,No,No,Yes - iocde,goedt zgqirz qukhk lwafe.,puzcx erswez xypbl qfshq.,Little improvement,Not at all,No,Yes,No,Yes,Yes,No,No,lyrkf etyzdd ewlqa bbify.,Own data science and/or AI team internally,Yes,Yes,Yes,No,No,fxvet fudexz ugrui aycao.,No,No,135.212.66.48,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
9988849479,06/07/2020 01:20,jvckzgaa,elzgruzd,vukzrdxd@ctibxdo.com,N/A,dzpccscs,Data Lead,Please specify - izkkk,Yes,No,No,No,No,uoafa tstxau bnsfu kahcl.,bpqus eflgqi irvfl nirtx.,Some improvement,A lot,No,Yes,No,Yes,No,Yes,Yes - urtdd,mzzbj rjqkty tpkza dmzsa.,Data Science and/or AI start ups,No,Yes,Yes,No,Yes,majst imbgpx ifdch hxodb.,Yes,Yes,67.190.78.133,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
3522289978,10/19/2005 05:03:12,bqpidckn,bpwlqgwj,yvnuixpu@ylfgrom.com,N/A,iphznjcl,Director,Please specify - gmnsy,No,Yes,No,No,No,yoijb iyyyru klreu wevmv.,kesoe fsxfdz vzvae pfkdk.,Little improvement,Not at all,Yes,No,Yes,Yes,No,No,Yes - bxoib,hdkal egnfba marps bgjfa.,Data Science and/or AI start ups,No,No,No,No,Yes,pzrvc ddwtok ixnph ljhmw.,Yes,Yes,175.226.69.169,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
5078909848,01/06/2018 23:54,fomxgpjy,niisezjr,bcwnwvac@fhtetia.com,N/A,frodmezs,Data Lead,Adopter company,No,Yes,No,No,Yes - yzoja,jiivo ogxfzi affmu loqxc.,agpjk udmtkd vqwuh mldga.,Little improvement,A little,No,No,No,Yes,Yes,Yes,No,ozlyk biedmq hwkaq golef.,Universities,No,Yes,No,No,Yes,xyeif whlavt ibgna ofvab.,Yes,Yes,99.45.122.182,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,iPhone
3548436187,01/20/2012 08:42:56,gqdrsgad,cynlktwl,sfpjwuvc@qoumszq.com,N/A,cgvjsbnw,CTO,Please specify - cxkvb,No,Yes,No,No,Yes - eyanz,tckhl xritog uccee oyzhk.,omgja yafvll lbhgc wckes.,Some improvement,A lot,Yes,Yes,Yes,Yes,No,Yes,Yes - tibxo,rfmlu gbxgpw bpkcu bcivk.,Universities,Yes,No,Yes,No,Yes,vjcvu pbljbq gudws asqgn.,Yes,Yes,221.204.134.95,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
5538114578,04/18/2005 09:10:59,asnlkyei,rpabrruw,gmrqrppw@pxvyyyu.com,N/A,dhdjbnob,Developer,Adopter company,Yes,No,Yes,Yes,Yes - jbcel,xsgge zmcavy usbrh gxvsg.,pojyh eukuuw frfta gxjyw.,Some improvement,A little,No,Yes,Yes,No,Yes,Yes,Yes - okixg,gwrml svnjog inqiu ebkbp.,Universities,No,No,No,Yes,No,hliym xnclsb rjuvl jtpgv.,Yes,Yes,233.126.21.178,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
4547625384,06/20/2018 07:09:20,bwwmgwlp,lqtykoyb,ofsffbfg@igmlqnf.com,N/A,myebmtqx,Director,AI Developer,Yes,Yes,No,No,Yes - uaran,hlqam vablfk ukkmo uhtsb.,pfpbv nempjr qsfnt dpvmi.,Little improvement,A lot,Yes,No,No,No,Yes,No,Yes - kgaxu,tepmy srgmzt vepbi laqiz.,Data Science and/or AI consultants,No,Yes,Yes,Yes,Yes,pfrul kfcmsz mbmlm avgyk.,Yes,Yes,212.44.195.83,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Windows NT
