ID,Date,Organisation Name,Companies House Registration no:,Organisation Size,Organisation Type,Website,Address,Postcode,Country,First name,Last name,Job Title,Email address,Please choose which option best describes what sort of company or organisation is seeking support?,Agriculture and food processing,Construction,Creative Industries,Software/technology development (AI/ML),"Transportation, including logistics and warehousing",Other (1),What is the business challenge that your organisation would most like to solve with data science and/or AI? (max 200 words),How might AI make your company more productive? (max 200 words),"In your opinion, to what extent might data science and/or AI improve your business revenue and/or productivity?",To what extent has your organisation modelled or forecast future business revenue and/or productivity using AI?,"Company culture, approach to innovation","Data quality, data sharing and/or data management issues",Costs and complexity,Lack of strategy and clear objectives,"Ethical, regulatory and compliance",Process deficiencies and storage,Other (2),What is the target audience (or target audiences) for your company's product and/or services? (max 200 words),"Briefly outline what engagement you have had with data science and AI solutions in the past (for example, advice, training, specialised staff)",Data scientists,Machine learning experts,Software engineers,Data engineers,Data analysts,Statisticians,Please add any other information that you would like to provide as part of this Expression of Interest form? (max 200 words),"Please tick to confirm that you understand as this is a BridgeAI project, the Alan Turing Institute (Privacy Policy) will be sharing your personal data, which is collected on behalf of the BridgeAI programme, with Innovate UK (Privacy Notice), Innovate UK Business Connect (Privacy Policy), BSI Group (Privacy Notice), Hartree Centre (Privacy Notice), and Digital Catapult (Privacy Notice) for the purpose described under the Innovate UK Business Connect privacy notice.",Please tick to confirm Innovate UK Business Connect have your permission to process your data. You can view Innovate UK Business Connect's Privacy Policy here.,IP Address,URL,User Agent
1898566358,06/19/2018 07:32:39,duycaxoz,IC911126,Large (>250 employees),"Funders, Investors, Incubators and Accelerators",www.qhwoiy.com,964 xprba street,KD5 5ZO,UK,aimsadvc,lvwtobvm,Data Lead,hxksliza@lkbejqu.com,Adopter company,No,No,Yes,No,Yes,No,tfjnk betach nzsjf cvoyx.,teqgq uecknn hoick lmole.,Little improvement,A little,Yes,Yes,No,No,Yes,No,Yes - pntyn,nscpd vecxng txdnc qnlyj.,Please specify - aoxzz,No,No,Yes,Yes,Yes,No,rjpzw lpvtsl slmmb jwgzi.,Yes,Yes,108.229.59.27,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
6619208163,02/11/2007 10:15:11,qyifrpqw,OS941271,Large (>250 employees),"University, Research Institute or RTO",www.mwqdsc.com,672 fsasq street,AE9 8QY,United Kingdom,mgdvidnk,rqcgpyxd,Data Lead,brzohxqz@dhjllbj.com,Please specify - fdoim,Yes,Yes,No,No,No,No,ranzt fbpdpm mvmvv vvtoc.,knzbq kgklbq nyryi akeqe.,Significant improvement,Not at all,Yes,Yes,Yes,Yes,No,Yes,No,fipyq xmxdvs zwpeg sgcbt.,Data Science and/or AI start ups,Yes,Yes,Yes,No,No,Yes,kkrwf xnoqxl crfdv cdspp.,Yes,Yes,127.250.171.149,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,iPhone
5799720724,05/24/2022 21:26:29,mtzurdgz,EO427180,Large (>250 employees),"Funders, Investors, Incubators and Accelerators",www.lfoktn.com,146 gojne road,ZR2 3QV,United Kingdom,bjcgwsat,nzloqelk,CTO,hvqptmtt@kibpzeo.com,Please specify - ossvy,No,Yes,No,No,Yes,No,bcwua oybhuy bujhu kkbai.,uldng fgptzs vtico wemsa.,Some improvement,A lot,No,No,No,Yes,Yes,Yes,No,oyudg npjhls nmhyl dftbs.,Own data science and/or AI team internally,No,Yes,Yes,Yes,No,No,bwhwa tsinew lzerj wcmuy.,Yes,Yes,153.15.110.207,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Windows NT
6537202243,08/12/2023 17:52:42,yyzcgtow,QU871376,Large (>250 employees),R&D Active Business,www.ikajbb.com,657 ppzvf street,JN8 1YV,UK,btvwmvyp,eashluwf,CEO,czoiklos@wyxphng.com,Please specify - rsahc,No,Yes,No,No,No,Yes - perke,mqmgn qjvlbn tsnhf xqmju.,krjfp myxnrw hlaqa uigsr.,Significant improvement,A little,No,No,No,Yes,No,Yes,Yes - bwcwd,sucrh yevddp lpomc hstax.,Please specify - wsdeg,Yes,No,Yes,Yes,Yes,Yes,fxkbd hysqsm swpgy eauee.,No,No,218.30.25.138,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
1566760574,07/24/2012 19:33:06,imrfmexks,LT287564,Medium (50-249 employees),Other (for profit) Business,www.bmxgtx.com,873 ltuig street,IQ3 5JU,United Kingdom,wnxfycfo,okitlrmw,CTO,bwujuqsw@jhvbedl.com,Adopter company,No,Yes,Yes,Yes,No,No,nksky glhgyq atefv zvobv.,mirgy ztbjyi pfwww wjqlw.,Significant improvement,Not at all,No,Yes,Yes,No,Yes,No,Yes - ucvxs,ndvci kgjwwa qoyqy ervgg.,Own data science and/or AI team internally,Yes,Yes,Yes,Yes,Yes,No,nntlk ptifpo runng jyedh.,Yes,Yes,34.96.8.49,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,iPhone
2320781727,04/24/2019 03:21:43,cyqwjppa,OD657698,Large (>250 employees),"Funders, Investors, Incubators and Accelerators",www.mawsin.com,610 vdsgi road,ZF2 2ZG,UK,mqqbipea,lcbzyfvj,Developer,lqgabtgo@hxefnvx.com,AI Developer,Yes,No,No,No,No,No,uitrb fxolyk drusf mwtnw.,pldyp yrynaq xwtfr wqwal.,Significant improvement,A lot,No,No,No,Yes,No,No,No,ydyba qxbexq hydkp zdmeg.,Own data science and/or AI team internally,Yes,No,No,No,No,Yes,wwxof iaqqez fobod roqtv.,Yes,Yes,38.160.8.54,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
5728551487,03/04/2000 15:04:56,nalvxcsi,BV141827,Medium (50-249 employees),R&D Active Business,www.niakqs.com,999 pnyyq road,KY4 3KT,UK,oesdkhoj,qqmufvnt,CTO,puwlddkc@hkgfbed.com,AI Developer,No,No,Yes,No,Yes,Yes - mwcuc,qtvef ginbru yleso qvrge.,jkqrq hmbcfi spcsg harlm.,Some improvement,Not at all,No,Yes,No,No,Yes,Yes,Yes - sxmec,ejlbv skjsax fvuxo zjpbv.,Data Science and/or AI start ups,No,Yes,No,No,Yes,No,fxndg ywvxty zhraa roolr.,Yes,Yes,70.95.84.91,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
7151296935,01/15/2010 20:07:18,bormiozj,ZQ769130,Medium (50-249 employees),"University, Research Institute or RTO",www.xzbqrs.com,727 smwdz road,BG9 4KP,UK,iabnlukh,ncwnrshu,Developer,jnxdsgxw@rkboiub.com,AI Developer,No,No,No,Yes,No,Yes - fnoid,xvpre rzzkxw zcgsj sgfaa.,axkjw sxlyrz lgxyd ezoop.,Little improvement,A lot,Yes,Yes,No,No,Yes,Yes,Yes - twfks,irbam jwkrvk qvcub cvnka.,Own data science and/or AI team internally,Yes,No,No,Yes,No,Yes,srofy gddcni bqgck gzczx.,Yes,Yes,29.217.34.60,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,iPhone
3553484355,10/20/2013 04:19:22,iphagwbh,DT418521,Medium (50-249 employees),"Funders, Investors, Incubators and Accelerators",www.lmknsr.com,843 uxrtm road,HM3 6SK,United Kingdom,gylbtdqt,xbbagjfs,CTO,jdpstdmo@rydllhg.com,Please specify - hlgqa,Yes,Yes,Yes,No,No,Yes - hintl,hcqdg wmcbbg wtjnn bipre.,mshsn dmnnyo qtpna wgzqn.,Significant improvement,Not at all,No,No,No,Yes,Yes,Yes,Yes - juopx,vstji hgahjv umvsu hzhhk.,Universities,Yes,No,Yes,Yes,Yes,No,qdvfq flbzmg qdrxy yfugk.,Yes,Yes,137.55.172.4,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Windows NT
4056923785,05/12/2009 00:17:13,itkmsgme,CE911195,Medium (50-249 employees),"Funders, Investors, Incubators and Accelerators",www.kvoizy.com,502 fbiru street,BB2 8WU,Not-UK,jilswoav,kinyrvcm,Developer,htywobjo@hmpacgz.com,Adopter company,No,Yes,No,No,No,Yes - hkzoc,lljii twaueu uulzm haayk.,ehgho tijtwt xkbui goqhi.,Some improvement,A little,Yes,Yes,No,No,No,Yes,Yes - izutu,wltxi fienyz fytra nkgou.,Data Science and/or AI start ups,Yes,Yes,Yes,No,No,No,jbdls tdidtd kzumr zdfhc.,Yes,Yes,17.203.191.36,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Windows NT
