ID,Date,Organisation Name,Companies House Registration no:,Organisation Size,Organisation Type,Website,Address,Postcode,Country,First name,Last name,Job Title,Email address,Please choose which option best describes what sort of company or organisation is seeking support?,Agriculture and food processing,Construction,Creative Industries,Software/technology development (AI/ML),"Transportation, including logistics and warehousing",Other (1),What is the business challenge that your organisation would most like to solve with data science and/or AI? (max 200 words),How might AI make your company more productive? (max 200 words),"In your opinion, to what extent might data science and/or AI improve your business revenue and/or productivity?",To what extent has your organisation modelled or forecast future business revenue and/or productivity using AI?,"Company culture, approach to innovation","Data quality, data sharing and/or data management issues",Costs and complexity,Lack of strategy and clear objectives,"Ethical, regulatory and compliance",Process deficiencies and storage,Other (2),What is the target audience (or target audiences) for your company's product and/or services? (max 200 words),"Briefly outline what engagement you have had with data science and AI solutions in the past (for example, advice, training, specialised staff)",Data scientists,Machine learning experts,Software engineers,Data engineers,Data analysts,Statisticians,Please add any other information that you would like to provide as part of this Expression of Interest form? (max 200 words),"Please tick to confirm that you understand as this is a BridgeAI project, the Alan Turing Institute (Privacy Policy) will be sharing your personal data, which is collected on behalf of the BridgeAI programme, with Innovate UK (Privacy Notice), Innovate UK Business Connect (Privacy Policy), BSI Group (Privacy Notice), Hartree Centre (Privacy Notice), and Digital Catapult (Privacy Notice) for the purpose described under the Innovate UK Business Connect privacy notice.",Please tick to confirm Innovate UK Business Connect have your permission to process your data. You can view Innovate UK Business Connect's Privacy Policy here.,IP Address,URL,User Agent
4064353129,07/12/2021 03:01:09,qpeemijc,LM469465,Medium (50-249 employees),"Funders, Investors, Incubators and Accelerators",www.fzchvs.com,399 vqody street,KL8 3AA,Not-UK,izgqcnqr,vqchylgf,Developer,yckygxse@nmtxxnj.com,Adopter company,No,No,No,Yes,No,Yes - hreoa,oxzmi eczkfk nvszi vzbwb.,teltc rvrfpd seqaq mwciw.,Little improvement,Not at all,No,No,No,No,Yes,Yes,Yes - ikrtu,tzgbp wlxfuy czsxu ioytv.,Please specify - willz,Yes,Yes,Yes,No,Yes,No,slsjj qhbaih iprhv bvgwi.,Yes,Yes,181.177.138.207,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Windows NT
1330888046,03/01/2000 15:48:58,bhsoxxqm,EI510682,Micro (0-9 employees),Other (for profit) Business,www.vbezwc.com,369 qurus street,RU1 4EA,United Kingdom,hajxkgem,nxtyttro,Developer,qxxthvmq@bcdjmoc.com,Please specify - yehtg,No,No,No,No,Yes,No,nfokq einbnh axjdy ckvjt.,ycuik xwjaul sewyu koygg.,Significant improvement,A little,Yes,No,No,Yes,Yes,Yes,No,mvset yzsupd bcnos swslm.,Own data science and/or AI team internally,No,No,No,Yes,No,No,qxarv vjjrjc eogpe gjlee.,Yes,Yes,232.148.235.62,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
5994914261,01/23/2022 15:35:33,txnarlju,FD874694,Small (10-49 employees),"Funders, Investors, Incubators and Accelerators",www.pjlegz.com,935 pasow street,MS1 6QH,United Kingdom,dnlixjzy,lihorfhh,Director,loeetgqa@keceetd.com,Adopter company,Yes,No,Yes,Yes,Yes,Yes - ydbuu,esqkh gfgpkt qujqb wlyrn.,ndxjy gtfgae zoxgi xgxnj.,Some improvement,A little,Yes,No,No,No,Yes,No,No,axrek yeiuhh udycm phvjh.,Data Science and/or AI start ups,No,No,Yes,Yes,No,Yes,tdhqb rdivvs fppdf yljsc.,Yes,Yes,228.130.63.253,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
3232649674,06/26/2012 23:46:46,szwcvngd,MV242064,Medium (50-249 employees),R&D Active Business,www.qhvibe.com,812 mpgpn road,BG7 8OF,Not-UK,osypupip,hqlcgtms,CEO,znorlaio@fvkphnd.com,Adopter company,Yes,Yes,No,Yes,Yes,No,laiow qtecri rukel rpigi.,ztvpb tzkgtx jmjbb gsqtb.,Significant improvement,A lot,Yes,No,No,No,Yes,Yes,Yes - jivgl,hagdu fsbgov tahbf hffxy.,Data Science and/or AI start ups,No,No,No,No,No,Yes,kvvyp txmksv amhbh xjnru.,Yes,Yes,187.89.114.255,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
2070865772,09/11/2004 23:48:18,kfkttrtn,MO548599,Medium (50-249 employees),"University, Research Institute or RTO",www.orobxg.com,126 usyly road,LA7 2MG,UK,yxcgprox,hfbcqdnz,CTO,tjhfspew@dlbnium.com,AI Developer,Yes,No,No,Yes,Yes,Yes - zfpis,wstja xmzwqe oifkg gbejs.,tromz gqynxm oseik vfhza.,Significant improvement,A lot,No,No,No,Yes,No,Yes,Yes - teegy,yjnjs vlagyl ozfdh rdkdi.,Please specify - wcjbf,Yes,Yes,Yes,Yes,No,No,sbfjd byqill vzpci abgvb.,Yes,Yes,184.151.45.238,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Windows NT
5794226447,08/02/2005 17:44:57,cdntqyxf,WU457989,Medium (50-249 employees),"Funders, Investors, Incubators and Accelerators",www.bwocog.com,86 brtty street,SR3 1SQ,UK,rxueevlr,csmigoaq,Data Lead,mxqedjzw@mlubfvw.com,AI Developer,No,No,No,No,No,No,ylqkw zswyuw lswck qylps.,majqd qxuxzx qwvga bneec.,Some improvement,A lot,Yes,Yes,Yes,No,No,Yes,Yes - gqhwl,kqqht qyfzao necqk uweit.,Data Science and/or AI start ups,No,Yes,No,Yes,No,No,jsrsp tnjkut taghw shtoo.,Yes,Yes,9.228.157.126,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
4670323059,03/04/2010 14:51:00,qersbcxw,TS487231,Micro (0-9 employees),"Funders, Investors, Incubators and Accelerators",www.pxckkl.com,222 gvxxt street,EI9 9CW,UK,rmrebzsr,dbhzwjzz,Director,mvgdvtjq@vduxulr.com,Please specify - srqqx,Yes,Yes,Yes,Yes,Yes,Yes - xbact,xipwp ptwugc cxzkc rqsdd.,ukvzy ryidys mtwyp gvjcy.,Some improvement,Not at all,No,Yes,No,Yes,Yes,Yes,Yes - hvgqu,bavjt zazvok btzwp imzbk.,Data Science and/or AI consultants,Yes,Yes,Yes,No,Yes,No,fkorn qrqoof drhkv ujiqi.,Yes,Yes,236.153.111.24,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
2497180779,06/06/2020 16:09:04,wcoqxwrv,UA226962,Medium (50-249 employees),Other (for profit) Business,www.bncwfl.com,933 siwmc street,CB2 7BH,United Kingdom,sxhtzzac,urweokns,Data Lead,fushtogf@gxtczoz.com,Please specify - vwkyt,No,No,Yes,Yes,No,Yes - brhha,ctoty ucgzau woanr miriu.,jamnd vpdoza oaamc ipari.,Little improvement,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,bgleg bgqpbs vagpq xbgqs.,Universities,No,No,No,No,Yes,No,qzccb kqkjsh rodfh qxjts.,Yes,Yes,161.224.219.147,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
6464693989,04/29/2005 16:04:56,mswvoowm,DA794889,Medium (50-249 employees),"Funders, Investors, Incubators and Accelerators",www.jqmnat.com,355 nipjx road,FR8 6CA,United Kingdom,xfzvbcap,lhlboiku,Developer,gjkjfhks@riyptlj.com,AI Developer,Yes,Yes,Yes,No,Yes,No,pzmcs rugyeg zjpcp nnbrk.,faksm liippt hauyu bytqx.,Some improvement,A little,Yes,Yes,No,Yes,No,Yes,No,qdyvl elohzx ojufw osvmc.,Data Science and/or AI start ups,Yes,No,No,Yes,No,Yes,mxaec kseefo ngork tuxox.,Yes,Yes,53.235.206.105,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Linux
7073619425,12/28/2013 06:50:49,wwacjmvj,DY956250,Large (>250 employees),Other (for profit) Business,www.hzqrkk.com,27 fblos street,KK4 2OS,UK,pblexchq,bdzrpmqu,CTO,ezvzwosa@ppwgoxl.com,Adopter company,No,No,Yes,No,Yes,Yes - phqhh,cqmad wudmpd zizon uyrzx.,hgpgp ttumjk rjnow qmdco.,Some improvement,A little,No,Yes,Yes,No,Yes,Yes,Yes - fdiqj,empph vfgpaj fqckb bnhyq.,Own data science and/or AI team internally,No,No,Yes,Yes,Yes,Yes,kvkpk stboms sdotl aegdc.,Yes,Yes,189.18.30.147,https://info.ktn-uk.org/p/2VFU-JEY/eoi-form-for-companies-and-organisations-interested-in-engaging-with-isas,Macintosh
